file,fileVersion,date,bugID
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.117,2007.04.17.15.50.43,181307
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.116,2006.12.14.01.17.34,162833
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.115,2006.11.30.19.35.01,150669
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.114,2006.10.31.14.31.30,150669
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.113,2006.10.30.22.22.47,150669
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.112,2006.08.29.13.31.39,154011
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.111,2006.05.04.15.32.27,138764
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.109,2006.03.28.18.48.51,98388
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.108,2006.03.27.19.08.20,133193
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.106,2006.03.23.20.49.42,102192
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.102,2005.08.18.22.01.28,106046
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.101,2005.08.04.00.07.11,102866
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.100,2005.06.10.15.33.19,88937
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.99,2005.05.26.19.45.21,85269
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.98,2005.05.26.15.05.24,90645
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.97,2005.05.24.18.39.38,95223
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.96,2005.05.20.13.00.20,95910
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.95,2005.05.17.15.05.33,93329
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.94,2005.05.12.14.24.40,88759
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.93,2005.05.04.16.09.07,83205
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.92,2005.04.20.20.04.55,73514
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.91,2005.04.20.19.54.10,90346
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.90,2005.04.20.15.27.30,87604
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.89,2005.04.20.14.58.10,85000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.88,2005.04.12.19.05.04,85333
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.87,2005.04.06.20.05.19,77152
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.86,2005.04.06.16.58.15,68926
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.85,2005.04.04.19.18.46,85067
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.83,2005.03.18.15.22.33,70564
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.82,2005.03.17.23.38.07,87096
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.81,2005.03.17.23.36.25,85474
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.80,2005.03.17.16.26.07,87765
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.76,2005.02.10.22.45.42,80149
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.74,2005.01.31.23.29.02,81463
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.73,2005.01.24.20.33.49,81463
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.72,2005.01.07.16.26.01,82068
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.71,2004.11.09.19.05.37,78078
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.70,2004.08.31.15.40.08,69782
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.68,2004.08.24.16.06.25,72514
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.66,2004.06.17.01.10.00,62007
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.65,2004.05.27.14.21.22,64244
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.64,2004.05.20.18.33.36,33974
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.63,2004.05.13.18.58.51,62118
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.60,2004.05.07.07.04.17,28656
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.59,2004.05.01.02.51.18,56601
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.55,2004.04.13.17.37.04,38653
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.54,2004.03.29.18.56.28,56601
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.52,2004.03.25.18.53.40,55768
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.33,2003.12.17.21.56.57,48937
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.25,2003.10.14.16.55.04,42415
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.24,2003.10.08.19.45.41,44487
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.23,2003.10.07.18.51.23,38399
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.21,2003.08.22.21.26.02,37686
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.20,2003.03.19.15.55.28,13121
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.18,2002.08.20.16.01.22,21294
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.17,2002.06.19.20.09.31,20063
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.16,2002.06.17.20.44.15,7711
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.15,2002.06.17.15.36.14,20063
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.14,2002.06.06.21.51.05,9027
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.14,2002.06.06.21.51.05,18635
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.13,2002.06.03.14.21.59,20020531
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.12,2002.06.02.21.06.06,9027
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.11,2002.06.01.04.27.20,9027
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.11,2002.06.01.04.27.20,16206
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.10,2002.05.28.19.27.59,16456
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.9,2002.05.21.00.15.44,16429
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.9,2002.05.21.00.15.44,16430
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.8,2002.05.18.21.50.42,16215
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.7,2002.05.18.20.44.19,16369
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.6,2002.05.18.20.42.01,16369
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.5,2002.05.17.00.04.17,16211
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.4,2002.05.16.23.55.41,15140
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.3,2002.05.15.19.57.47,15987
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.2,2002.05.10.13.54.05,20020510
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.17.2.1,2002.08.19.23.03.26,21294
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.49.2.1,2004.03.25.16.55.17,55768
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.67.2.1,2004.08.24.16.21.51,72514
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.67.2.3,2004.08.31.14.39.09,69782
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.100.2.1,2005.08.18.22.02.59,106046
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.111.2.1,2007.01.08.22.29.51,169691
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.111.2.2,2007.11.08.14.51.44,209192
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.111.2.2,2007.11.08.14.51.44,3235
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.11,2007.04.17.15.50.43,181307
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.10,2006.12.14.01.17.34,162833
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.9,2006.12.14.01.04.50,162097
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.8,2006.05.04.15.32.27,138764
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.6,2006.03.20.22.23.23,132372
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.4,2005.08.18.22.01.28,106046
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.3,2005.05.26.19.45.21,85269
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.3.2.1,2005.08.18.22.02.59,106046
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.8.2.1,2006.12.13.16.31.09,162097
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.8.2.2,2007.01.08.22.29.51,169691
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.8.2.3,2007.01.11.22.20.11,169691
org.eclipse.platform\src-intro\org\eclipse\platform\internal\CheatSheetStandbyContent.java,1.7,2004.06.18.14.04.59,66677
org.eclipse.platform\src-intro\org\eclipse\platform\internal\CheatSheetStandbyContent.java,1.3,2004.05.17.18.26.03,62496
org.eclipse.platform\src-intro\org\eclipse\platform\internal\CheatSheetStandbyContent.java,1.1,2004.04.16.15.54.43,55607
org.eclipse.platform\src-intro\org\eclipse\platform\internal\LaunchUpdateIntroAction.java,1.2,2008.03.17.20.21.11,222378
org.eclipse.platform\src-intro\org\eclipse\platform\internal\LaunchUpdateIntroAction.java,1.1,2005.06.21.22.42.02,100654
org.eclipse.platform\src-intro\org\eclipse\platform\internal\Attic\EclipseRSSViewer.java,1.5,2009.10.20.21.47.44,278290
org.eclipse.platform\src-intro\org\eclipse\platform\internal\Attic\EclipseRSSViewer.java,1.4,2007.07.16.15.32.45,196204
org.eclipse.platform\src-intro\org\eclipse\platform\internal\Attic\EclipseRSSViewer.java,1.3.4.1,2007.07.16.16.08.17,196672
org.eclipse.platform\src-intro\org\eclipse\platform\internal\Attic\Messages.java,1.3,2009.10.20.21.47.44,278290
