file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.111,2006-05-04,138764,R3_2_1,2006-09-28,2006-05-04,-147 days +00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.8,2006-05-04,138764,R3_2_1,2006-09-28,2006-05-04,-147 days +00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.111,2006-05-04,138764,R3_2,2006-06-29,2006-05-04,-56 days +00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.8,2006-05-04,138764,R3_2,2006-06-29,2006-05-04,-56 days +00:00:00.000000000
org.eclipse.platform\src-intro\org\eclipse\platform\internal\LaunchUpdateIntroAction.java,1.1,2005-06-21,100654,R3_1_2,2006-01-25,2005-10-03,-114 days +00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.100,2005-06-10,88937,R3_1,2005-06-28,2005-06-10,-18 days +00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.20,2003-03-19,13121,R2_1_1,2003-06-27,2003-03-19,-100 days +00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.20,2003-03-19,13121,R2_1,2003-03-27,2003-03-19,-8 days +00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.17,2002-06-19,20063,R2_0,2002-06-27,2002-06-20,-7 days +00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.67.2.3,2004-08-31,69782,R3_0_1,2004-09-16,2004-09-07,-9 days +00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.100.2.1,2005-08-18,106046,R3_1_2,2006-01-25,2005-08-18,-160 days +00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.3.2.1,2005-08-18,106046,R3_1_2,2006-01-25,2005-08-18,-160 days +00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\Main.java,1.100.2.1,2005-08-18,106046,R3_1_1,2005-09-28,2005-08-18,-41 days +00:00:00.000000000
org.eclipse.platform\src\org\eclipse\core\launcher\Attic\WebStartMain.java,1.3.2.1,2005-08-18,106046,R3_1_1,2005-09-28,2005-08-18,-41 days +00:00:00.000000000
org.eclipse.platform\src-intro\org\eclipse\platform\internal\Attic\EclipseRSSViewer.java,1.3.4.1,2007-07-16,196672,R3_3_1,2007-09-28,2007-08-24,-35 days +00:00:00.000000000
